movie,character1,character2,location,interactionType,result,timestamp,,"methodology: This dataset contains interaction data between characters in the  Star Wars prequal movies created by George Lucas. The links between characters are defined from when they are shown on screen. Multiple interaction types can happen between characters within a scene, signalling a new interaction for interaction types in the same scene. character1 and character2 are characters who are directly interacting with each other. These timestamps were derived from the DisneyPlus streaming service. ",
1,republic captain,qui-gon jinn,republic cruiser,dialogue,null,00:02:00,,,
1,republic captain,nute gunray,republic cruiser,dialogue,null,00:02:06,,variables,
1,tc-14,qui-gon jinn,trade federation ship,dialogue,null,00:02:43,,movie:,Star Wars Episode
1,obi-wan kenobi,qui-gon jinn,trade federation ship,dialogue,null,00:03:04,,character1:,Name of  character
1,tc-14,nute gunray,trade federation ship,dialogue,null,00:03:41,,character2:,Name of other character
1,gilramos libkath,nute gunray,trade federation ship,dialogue,null,00:03:48,,location:,Scene where interaction takes place
1,obi-wan kenobi,qui-gon jinn,trade federation ship,dialogue,null,00:04:09,,interactionType:,String describing interaction
1,gilramos libkath,darth sidious,trade federation ship,dialogue,null,00:04:27,,result:,Result of interactionType
1,nute gunray,darth sidious,trade federation ship,dialogue,null,00:04:34,,timestamp,Start of interaction.
1,republic captain,republic co-pilot,republic cruiser,fighting,null,00:05:07,,,
1,qui-gon jinn,obi-wan kenobi,trade federation ship,fighting,both escaped,00:05:14,,,
1,nute gunray,battle droid,trade federation ship,dialogue,null,00:05:26,,,
1,tc-14,battle droid,trade federation ship,dialogue,null,00:05:40,,,
1,obi-wan kenobi,battle droid,trade federation ship,fighting,destroyed battle droids,00:05:46,,,
1,qui-gon jinn,battle droid,trade federation ship,fighting,destroyed battle droids,00:05:46,,,
1,nute gunray,trade federation captain,trade federation ship,dialogue,null,00:05:53,,,
1,obi-wan kenobi,qui-gon jinn,trade federation ship,fighting,destroyed battle droids,00:05:56,,,
1,gilramos libkath,nute gunray,trade federation ship,dialogue,null,00:06:01,,,
1,obi-wan kenobi,qui-gon jinn,trade federation ship,fighting,destroyed battle droids,00:06:14,,,
1,nute gunray,trade federation captain,trade federation ship,dialogue,null,00:06:26,,,
1,obi-wan kenobi,qui-gon jinn,trade federation ship,fighting,destroyed battle droids,00:06:38,,,
1,nute gunray,gilramos libkath,trade federation ship,dialogue,null,00:06:46,,,
1,obi-wan kenobi,droidekas,trade federation ship,fighting,fleeing trade fedaration ship,00:06:58,,,
1,gilramos libkath,nute gunray,trade federation ship,dialogue,null,00:07:17,,,
